36: saturday
17: a
15: alright
12: nights
10: of
9: get
8: i
8: the
7: in
6: your
6: as
5: little
5: and
4: ooh
4: like
4: my
4: dont
4: for
4: oh
4: with
3: aggravation
3: about
3: none
3: discipline
3: fighting
3: action
3: dance
3: give
3: night
3: it
3: diesel
3: set
3: gonna
3: to
3: had
3: me
3: us
3: train
3: this
3: oiled
3: cause
3: we
3: alight
2: her
2: im
2: old
2: want
2: may
2: its
2: full
2: here
2: sounds
1: wholl
1: boys
1: when
1: braces
1: friend
1: you
1: beer
1: sister
1: motorbike
1: mates
1: whose
1: drink
1: looking
1: juvenile
1: dolly
1: care
1: belly
1: drunker
1: cute
1: seen
1: out
1: rock
1: see
1: are
1: have
1: boots
1: shout
1: grease
1: barrel
1: product
1: mans
1: right
1: switchblade
1: theyre
1: tonight
1: couple
1: use
1: tell
1: seven
1: tight
1: that
1: looks
1: late
1: ma
1: than
1: glass
1: floats
1: need
1: sink
1: bottom
1: monkeys
1: she
1: best
1: getting
1: hair
1: muscle
1: working
1: packed
1: class
1: pretty
1: handful
1: really
1: oclock
1: what
1: shes
1: lady
1: well
